atis
{'loss': 0.20997462523254481, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9343903772553308, 'slot_recall': 0.9526198439241917, 'slot_f1': 0.9434170576869997, 'sementic_frame_acc': 0.8671428571428571}
{'loss': 0.22449558092789215, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9509371554575524, 'slot_recall': 0.9615384615384616, 'slot_f1': 0.9562084257206209, 'sementic_frame_acc': 0.8942857142857142}
{'loss': 0.28340888768434525, 'intent_acc': 0.9828571428571429, 'slot_precision': 0.945364238410596, 'slot_recall': 0.9548494983277592, 'slot_f1': 0.9500831946755408, 'sementic_frame_acc': 0.8828571428571429}
{'loss': 0.20473790541291237, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9381499726327313, 'slot_recall': 0.955406911928651, 'slot_f1': 0.9466998066832367, 'sementic_frame_acc': 0.8785714285714286}
{'loss': 0.19966129823164505, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9387643521049754, 'slot_recall': 0.9570791527313266, 'slot_f1': 0.9478332873309412, 'sementic_frame_acc': 0.8828571428571429}
{'loss': 0.21582192758267577, 'intent_acc': 0.99, 'slot_precision': 0.9561111111111111, 'slot_recall': 0.9593088071348941, 'slot_f1': 0.9577072899276573, 'sementic_frame_acc': 0.8942857142857142}
{'loss': 0.23348555646159433, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9503311258278145, 'slot_recall': 0.959866220735786, 'slot_f1': 0.9550748752079866, 'sementic_frame_acc': 0.8928571428571429}
{'loss': 0.2531444918025624, 'intent_acc': 0.9857142857142858, 'slot_precision': 0.9456641053787047, 'slot_recall': 0.9604236343366778, 'slot_f1': 0.9529867256637167, 'sementic_frame_acc': 0.8857142857142857}
{'loss': 0.24633557281710886, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.942339373970346, 'slot_recall': 0.9565217391304348, 'slot_f1': 0.9493775933609957, 'sementic_frame_acc': 0.8814285714285715}
{'loss': 0.2621534236452796, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9444138690148597, 'slot_recall': 0.9565217391304348, 'slot_f1': 0.9504292439767377, 'sementic_frame_acc': 0.8828571428571429}
